Account Name	Date & Time	Activity Details	Amount (Currency / Meals)
Spring 120 Block	05/07/25 03:13:42 PM	Workstation 9993	- $31.00
Spring $500 Dining Dollars	05/07/25 03:00:10 PM	Workstation 9993	- $15.05
Spring $500 Dining Dollars	05/02/25 01:29:21 PM	TalleyMrkt 6148	- $17.07
Spring $500 Dining Dollars	05/02/25 01:20:41 PM	Tapingo PCJ-Talley	- $6.22
Spring $500 Dining Dollars	05/02/25 01:07:18 PM	Tapingo Talley-Jasons Deli	- $9.49
Spring $500 Dining D llars	05/01/25 12:38:08 PM	Tapingo PCJ-Talley	- $10.45
Spring $500 Dining Dollars	05/01/25 12:36:57 PM	Tapingo Talley-Jasons Deli	- $8.54
Spring $500 Dining Dollars	05/01/25 12:36:13 PM	Tapingo Talley-Los Lobos	- $6.64
Spring $500 Dining Dollars	04/30/25 06:45:31 PM	Tapingo Talley-Los Lobos	- $16.13
Spring $500 Dining Dollars	04/30/25 01:42:13 PM	Tapingo PCJ-Talley	- $8.79
Spring 120 Block	04/30/25 11:08:52 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/29/25 06:49:06 PM	Tapingo PCJ-Talley	- $3.13
Spring $500 Dining Dollars	04/29/25 06:48:06 PM	Tapingo Talley-Jasons Deli	- $13.09
Spring $500 Dining Dollars	04/29/25 01:00:59 PM	Tapingo PCJ-Talley	- $5.22
Spring 120 Block	04/29/25 11:20:16 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/28/25 06:02:29 PM	Tapingo Talley-Jasons Deli	- $9.49
Spring $500 Dining Dollars	04/28/25 06:01:35 PM	Tapingo PCJ-Talley	- $3.09
Spring 120 Block	04/28/25 01:07:32 PM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/24/25 06:45:44 PM	Tapingo PCJ-Talley	- $3.75
Spring $500 Dining Dollars	04/24/25 06:44:33 PM	Tapingo Talley-Jasons Deli	- $9.49
Spring $500 Dining Dollars	04/24/25 12:36:12 PM	Tapingo PCJ-Talley	- $3.56
Spring 120 Block	04/24/25 12:15:55 PM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/23/25 07:56:49 PM	TalleyMkt 6211	- $5.69
Spring 120 Block	04/23/25 07:24:49 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	04/23/25 03:28:01 PM	Tapingo Atrium-Brickyard	- $6.60
Spring $500 Dining Dollars	04/23/25 11:33:14 AM	Tapingo Atrium-Brickyard	- $3.79
Spring $500 Dining Dollars	04/23/25 09:37:40 AM	Tapingo-Hill of Beans	- $7.77
Spring 120 Block	04/22/25 07:45:55 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	04/22/25 06:01:46 PM	Tapingo PCJ-Talley	- $3.09
Spring 120 Block	04/22/25 11:14:23 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	04/21/25 06:36:10 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	04/21/25 12:52:55 PM	Tapingo PCJ-Talley	- $4.27
Spring 120 Block	04/21/25 11:01:58 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/20/25 06:41:51 PM	Tapingo Talley-Los Lobos	- $3.60
Spring $500 Dining Dollars	04/20/25 06:41:00 PM	Tapingo Talley-Jasons Deli	- $5.69
Spring $500 Dining Dollars	04/20/25 06:39:20 PM	Tapingo PCJ-Talley	- $3.60
Spring $500 Dining Dollars	04/19/25 11:07:20 AM	Tapingo PCJ-Talley	- $8.17
Spring $500 Dining Dollars	04/18/25 07:30:28 PM	Tapingo PCJ-Talley	- $3.09
Spring $500 Dining Dollars	04/18/25 07:13:40 PM	Tapingo Talley-Jasons Deli	- $9.49
Spring $500 Dining Dollars	04/17/25 11:29:55 AM	Tapingo PCJ-Talley	- $4.27
Spring 120 Block	04/17/25 11:02:36 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/16/25 04:29:14 PM	Tapingo PCJ- Parks Shop	- $3.60
Spring 120 Block	04/16/25 11:01:27 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/15/25 05:25:03 PM	Tapingo Common Grounds	- $3.32
Spring 120 Block	04/15/25 11:01:37 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/14/25 09:54:52 PM	Tapingo Common Grounds	- $3.60
Spring 120 Block	04/14/25 06:16:45 PM	OneEarth 6154	- $1.00
Spring 120 Block	04/14/25 11:01:42 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/14/25 07:54:50 AM	Tapingo PCJ-Talley	- $3.56
Spring $500 Dining Dollars	04/13/25 08:35:54 PM	Tapingo PCJ-Talley	- $3.09
Spring 120 Block	04/13/25 06:36:51 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	04/11/25 08:26:01 PM	Tapingo PCJ-Talley	- $3.13
Spring $500 Dining Dollars	04/11/25 08:24:49 PM	Tapingo Talley-Los Lobos	- $10.44
Spring $500 Dining Dollars	04/10/25 06:30:42 PM	Tapingo Oval-Newtons Grill	- $9.57
Spring $500 Dining Dollars	04/10/25 01:51:00 PM	Tapingo Port City Java - EB II	- $4.27
Spring 120 Block	04/10/25 11:05:10 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	04/09/25 06:11:16 PM	OneEarth 6154	- $1.00
Spring 120 Block	04/09/25 11:00:47 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	04/08/25 05:34:04 PM	OneEarth 6154	- $1.00
Spring 120 Block	04/08/25 11:02:00 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/07/25 07:57:45 PM	Tapingo Talley-Los Lobos	- $10.24
Spring 120 Block	04/07/25 11:03:38 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/06/25 07:54:43 PM	Tapingo PCJ-Talley	- $3.60
Spring $500 Dining Dollars	04/04/25 12:19:00 PM	Tapingo PCJ-Talley	- $4.27
Spring $500 Dining Dollars	04/04/25 12:18:08 PM	Tapingo 1887	- $9.49
Spring $500 Dining Dollars	04/03/25 06:12:44 PM	Tapingo PCJ-Talley	- $3.09
Spring 120 Block	04/03/25 06:10:42 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	04/03/25 01:16:25 PM	Tapingo Port City Java - EB II	- $4.27
Spring 120 Block	04/03/25 11:02:11 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	04/02/25 06:16:25 PM	OneEarth 6154	- $1.00
Spring 120 Block	04/02/25 11:01:33 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	04/01/25 04:52:26 PM	Tapingo Common Grounds	- $3.32
Spring 120 Block	04/01/25 11:04:35 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/31/25 07:38:03 PM	OneEarth 6154	- $1.00
Spring 120 Block	03/31/25 11:01:53 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/27/25 11:03:11 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/26/25 06:22:02 PM	OneEarth 6154	- $1.00
Spring 120 Block	03/26/25 11:02:02 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/25/25 11:03:19 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/24/25 05:58:09 PM	OneEarth 6154	- $1.00
Spring $500 Dining Dollars	03/24/25 02:06:14 PM	Tapingo Port City Java - EB II	- $4.99
Spring 120 Block	03/24/25 11:02:12 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	03/21/25 07:32:31 PM	Tapingo PCJ-Talley	- $4.27
Spring $500 Dining Dollars	03/21/25 07:31:48 PM	Tapingo Talley-Los Lobos	- $6.64
Spring 120 Block	03/20/25 05:07:29 PM	OneEarth 6154	- $1.00
Spring 120 Block	03/20/25 11:06:02 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/19/25 06:07:56 PM	OneEarth 6154	- $1.00
Spring 120 Block	03/19/25 11:01:51 AM	Case Micros Reg 6103	- $1.00
Spring $500 Dining Dollars	03/18/25 05:22:41 PM	Tapingo Oval-Newtons Grill	- $9.96
Spring 120 Block	03/18/25 11:19:38 AM	Case Micros Reg 6103	- $1.00
Spring 120 Block	03/17/25 06:27:42 PM	OneEarth 6154	- $1.00
Spring 120 Block	03/17/25 11:01:05 AM	Case Micros Reg 6103	- $1.00
